,title,company,salary,location
233,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
234,Business Analyst,Michael Page,No salary,"Roma, Lazio"
235,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
236,Customer Experience Analyst (Stage),Mediaworld,Tirocinio formativo/stage,20843 Verano Brianza
237,DATA ANALYST JUNIOR,Ali Spa,Tempo determinato,"San Donà di Piave, Veneto"
238,Strategy business analyst,Alyant,Tempo pieno,37122 Verona
239,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
240,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
241,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
242,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
243,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
244,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
245,Addetto back office,Tecnauto di Gargiuolo Roberto,Tirocinio formativo/stage,76125 Trani
246,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
247,Junior Business Analyst,Dot Academy srl,Tempo pieno,27100 Pavia
248,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
249,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
250,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
251,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
252,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
253,SALES DATA ANALYST,Synergie Italia S.p.a.,Tempo indeterminato +1,12032 Barge
254,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
255,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
256,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
